brand,engine_type,gearbox,mileage,model,price,url,year
opel,,manuelle,148133,astra,2300,"/Voiture/Opel-OPEL-ASTRA-F-Caravan-T92-1.4-i-F35,-M35/vhc:car,pgn:6,pgs:10,dmg:false/pg:vipcar/384525393.html",1993
opel,,manuelle,152000,berlingo,4500,"/Voiture/Citro%C3%ABn-Citr%C3%B6en-Berlingo-Kastenwagen/vhc:car,pgn:6,pgs:10,dmg:false/pg:vipcar/384525392.html",2010
opel,,automatique,250000,berlingo,2550,"/Voiture/Volvo-Volvo-V50-Motorschaden/vhc:car,pgn:6,pgs:10,dmg:false/pg:vipcar/384525391.html",2011
volkswagen,,manuelle,260000,passat,6500,"/Voiture/Volkswagen-VW-Passat-1.9/vhc:car,pgn:6,pgs:10,dmg:false/pg:vipcar/384525390.html",2009
volkswagen,,automatique,24000,passat,25390,"/Voiture/Nissan-Qashqai-N-TEC-1.3-AT-Navi-LED-AHK-R/vhc:car,pgn:6,pgs:10,dmg:false/pg:vipcar/384525389.html",2020
bmw,,automatique,190000,passat,5000,"/Voiture/BMW-BMW-318Ti-140Ps-Bombe-Zustand-Bj1997/vhc:car,pgn:6,pgs:10,dmg:false/pg:vipcar/384525388.html",1997
audi,,automatique,262000,q7,6650,"/Voiture/Audi-Audi-Q7-3.0-TDI-Sportpacket-Xenon-Kamera/vhc:car,pgn:4,pgs:10,dmg:false/pg:vipcar/384525421.html",2007
ford,,manuelle,185353,q7,1200,"/Voiture/Ford-Ford-Fusion-1,4-TDCI/vhc:car,pgn:4,pgs:10,dmg:false/pg:vipcar/384525420.html",2004
mercedes,,manuelle,336000,q7,1600,"/Voiture/Mercedes-Benz-Mercedes-Benz-C-180-Kompressor/vhc:car,pgn:4,pgs:10,dmg:false/pg:vipcar/384525419.html",2004
mercedes,,automatique,116000,q7,29990,"/Voiture/Autres-Range-Rover-Sport-HSE/vhc:car,pgn:4,pgs:10,dmg:false/pg:vipcar/384525418.html",2015
audi,,automatique,42000,a3,24800,"/Voiture/Audi-Audi-A3-8V-Limousine/vhc:car,pgn:4,pgs:10,dmg:false/pg:vipcar/384525417.html",2018
audi,,manuelle,300000,a3,2350,"/Voiture/Volvo-Volvo-V50-2.0-Diesel-T%C3%9CV-05.2024/vhc:car,pgn:4,pgs:10,dmg:false/pg:vipcar/384525416.html",2005
volkswagen,,manuelle,61550,iq,24490,"/Voiture/Volkswagen-Tiguan-IQ.DRIVE-IQ-Drive-1.5-TSI/vhc:car,pgn:4,pgs:10,dmg:false/pg:vipcar/384525415.html",2020
bmw,,automatique,212094,iq,7000,"/Voiture/BMW-BWM-5er-320i-e60/vhc:car,pgn:4,pgs:10,dmg:false/pg:vipcar/384525414.html",2008
opel,,manuelle,152471,corsa,1300,"/Voiture/Opel-Opel-Corsa/vhc:car,pgn:4,pgs:10,dmg:false/pg:vipcar/384525413.html",2011
renault,,automatique,45325,espace,26990,"/Voiture/Renault-ESPACE-Initiale-Paris-TCe-225-EDC-GPF/vhc:car,pgn:4,pgs:10,dmg:false/pg:vipcar/384525412.html",2019
,,automatique,110000,,1350,"/Voiture/Nissan-Auto-nissan/vhc:car,pgn:7,pgs:10,dmg:false/pg:vipcar/384525387.html",1992
volkswagen,,automatique,122000,,45000,"/Voiture/Volkswagen-VW-T6-Camper-4motion/vhc:car,pgn:7,pgs:10,dmg:false/pg:vipcar/384525386.html",2016
mercedes,,automatique,222000,s-klasse,4100,"/Voiture/Mercedes-Benz-Mercedes-benz-s500-w220-s/vhc:car,pgn:7,pgs:10,dmg:false/pg:vipcar/384525385.html",1999
volkswagen,,manuelle,225000,caddy,5500,"/Voiture/Volkswagen-VW-Caddy-Kastenwagen/vhc:car,pgn:7,pgs:10,dmg:false/pg:vipcar/384525382.html",2012
volkswagen,,manuelle,15650,t-roc,31900,"/Voiture/Volkswagen-T-Roc-R-Line-1.5-TSI-NAVI-KAMERA/vhc:car,pgn:7,pgs:10,dmg:false/pg:vipcar/384525381.html",2023
toyota,,automatique,164000,verso,5699,"/Voiture/Toyota-Toyota-verso-1.8l-7-Setzer/vhc:car,pgn:7,pgs:10,dmg:false/pg:vipcar/384525380.html",2006
toyota,,manuelle,63000,verso,12900,"/Voiture/Honda-Honda-Accord-2.0-i-vtec-Facelift-63.000/vhc:car,pgn:7,pgs:10,dmg:false/pg:vipcar/384525379.html",2012
audi,,manuelle,75000,c4,6995,"/Voiture/Audi-Audi-100-C4-Rentnerfahrzeug/vhc:car,pgn:7,pgs:10,dmg:false/pg:vipcar/384525377.html",1993
renault,,manuelle,32500,c4,4600,"/Voiture/Renault-Twingo,-T%C3%9CV-neu,-Allwetterreifen,-32/vhc:car,pgn:7,pgs:10,dmg:false/pg:vipcar/384525376.html",2008
bmw,,automatique,102930,c4,31860,"/Voiture/BMW-530-Gran-Turismo-d-xDrive-Luxury-Line-AHK/vhc:car,pgn:7,pgs:10,dmg:false/pg:vipcar/384525375.html",2016
fiat,,manuelle,194000,doblo,999,"/Voiture/Fiat-Fiat-Doblo-SX-Rot/vhc:car,pgn:8,pgs:10,dmg:false/pg:vipcar/384525374.html",2003
renault,,automatique,166000,scenic,1800,"/Voiture/Renault-Renault-Megan-Scenic-2.0l/vhc:car,pgn:8,pgs:10,dmg:false/pg:vipcar/384525373.html",2004
audi,,automatique,199000,a6,9999,"/Voiture/Audi-Audi-A6-2.7l/vhc:car,pgn:8,pgs:10,dmg:false/pg:vipcar/384525372.html",2011
mercedes,,manuelle,28000,a6,33350,"/Voiture/Mercedes-Benz-Mercedes-Benz-A180-Limousine/vhc:car,pgn:8,pgs:10,dmg:false/pg:vipcar/384525371.html",2021
mercedes,,manuelle,155000,a6,6100,"/Voiture/Seat-Seat-ibiza-TSI-NEU-T%C3%9CV/vhc:car,pgn:8,pgs:10,dmg:false/pg:vipcar/384525370.html",2013
volkswagen,,manuelle,277159,golf,1349,"/Voiture/Volkswagen-VW-Golf-IV-1.4-Benzin,-EZ-06-2003,/vhc:car,pgn:8,pgs:10,dmg:false/pg:vipcar/384525368.html",2003
bmw,,automatique,219823,golf,19990,"/Voiture/BMW-530d-xDrive-M-Sport-Pano,HeadUp,AHK,Soft/vhc:car,pgn:8,pgs:10,dmg:false/pg:vipcar/384525367.html",2016
ford,,manuelle,195000,transit,1200,"/Voiture/Ford-Ford-Transit/vhc:car,pgn:8,pgs:10,dmg:false/pg:vipcar/384525366.html",2006
citroen,,manuelle,126000,c3,7250,"/Voiture/Citro%C3%ABn-Citroen-C3-Picasso/vhc:car,pgn:8,pgs:10,dmg:false/pg:vipcar/384525365.html",2014
citroen,,manuelle,152000,c1,2000,"/Voiture/Citro%C3%ABn-PKW-Citroen-C1/vhc:car,pgn:8,pgs:10,dmg:false/pg:vipcar/384525364.html",2007
bmw,,automatique,186000,,16900,"/Voiture/BMW-BMW-318d-Sport/vhc:car,pgn:9,pgs:10,dmg:false/pg:vipcar/384525362.html",2017
bmw,,manuelle,236300,,3300,"/Voiture/BMW-Bmw-e46-Compact-316ti/vhc:car,pgn:9,pgs:10,dmg:false/pg:vipcar/384525361.html",2004
bmw,,automatique,46800,,49000,"/Voiture/BMW-BMW-530e-mit-mega-Ausstattung-und/vhc:car,pgn:9,pgs:10,dmg:false/pg:vipcar/384525360.html",2021
bmw,,automatique,49700,x2,24800,"/Voiture/BMW-BMW-X2-Drive18d/vhc:car,pgn:9,pgs:10,dmg:false/pg:vipcar/384525359.html",2018
,,semi-automatique,120000,,20900,"/Voiture/Mercedes-Benz-Mercedes-benz-A-180-A-180-d/vhc:car,pgn:10,pgs:10,dmg:false/pg:vipcar/384525351.html",2019
bmw,,automatique,112000,,7500,"/Voiture/BMW-BMW-E65-735i-V8-Nur-112-TKM-Leder-Navi/vhc:car,pgn:10,pgs:10,dmg:false/pg:vipcar/384525349.html",2002
volkswagen,,automatique,25626,touareg,57555,"/Voiture/Volkswagen-Touareg-Atmosphere-4Motion-UPE/vhc:car,pgn:10,pgs:10,dmg:false/pg:vipcar/384525348.html",2022
mercedes,,manuelle,99000,touareg,5950,"/Voiture/Mercedes-Benz-MERCEDES-B-170-SCHALTWAGEN/vhc:car,pgn:10,pgs:10,dmg:false/pg:vipcar/384525347.html",2008
