brand,engine_type,gearbox,mileage,model,price,url,year
Peugeot,Diesel,Automatique,4618,3008,35520,https://www.spoticar.fr/voitures-occasion/peugeot-3008-bluehdi-130ch-ss-eat8-allure-pack-yvelines-france-1202956950,2023
Peugeot,Essence,Automatique,15270,2008,28950,https://www.spoticar.fr/voitures-occasion/peugeot-2008-puretech-130-ss-eat8-gt-yvelines-france-1202956946,2023
Peugeot,Diesel,Automatique,88180,5008,25300,https://www.spoticar.fr/voitures-occasion/peugeot-5008-bluehdi-130ch-ss-eat8-allure-yvelines-france-1202956906,2020
Citroën,Essence,Manuelle,16799,C3,19800,https://www.spoticar.fr/voitures-occasion/citroen-c3-aircross-puretech-110-ss-bvm6-feel-pack-yvelines-france-1202956901,2023
Citroën,Essence,Automatique,20316,C3,19990,https://www.spoticar.fr/voitures-occasion/citroen-c3-puretech-110-ss-eat6-shine-yvelines-france-1202956942,2023
Peugeot,Essence,Manuelle,14871,3008,30684,https://www.spoticar.fr/voitures-occasion/peugeot-3008-puretech-130ch-ss-bvm6-allure-pack-yvelines-france-1202956938,2023
Peugeot,Diesel,Automatique,2383,3008,35282,https://www.spoticar.fr/voitures-occasion/peugeot-3008-bluehdi-130ch-ss-eat8-allure-pack-yvelines-france-1202956899,2023
Peugeot,Diesel,Automatique,1259,2008,28850,https://www.spoticar.fr/voitures-occasion/peugeot-2008-bluehdi-130-ss-eat8-allure-yvelines-france-1202956897,2023
Citroën,Essence,Automatique,1911,C5,33104,https://www.spoticar.fr/voitures-occasion/citroen-c5-aircross-puretech-130-ss-eat8-feel-pack-yvelines-france-1202956889,2023
Citroën,Essence,Manuelle,14642,C3,18450,https://www.spoticar.fr/voitures-occasion/citroen-c3-puretech-110-ss-bvm6-c-series-yvelines-france-1202956926,2023
Citroën,Essence,Automatique,4265,C5,32519,https://www.spoticar.fr/voitures-occasion/citroen-c5-aircross-puretech-130-ss-eat8-feel-pack-yvelines-france-1202956882,2023
Citroën,Essence,Manuelle,21933,C4,24990,https://www.spoticar.fr/voitures-occasion/citroen-c4-puretech-130-ss-bvm6-shine-yvelines-france-1202956915,2023
Citroën,Essence,Manuelle,11003,C3,19084,https://www.spoticar.fr/voitures-occasion/citroen-c3-puretech-110-ss-bvm6-shine-yvelines-france-1202956933,2023
Peugeot,Diesel,Automatique,4464,5008,38100,https://www.spoticar.fr/voitures-occasion/peugeot-5008-bluehdi-130ch-ss-eat8-allure-pack-yvelines-france-1202956879,2023
Peugeot,Hybride rechargeable,Automatique,949,3008,54650,https://www.spoticar.fr/voitures-occasion/peugeot-3008-hybrid-225-e-eat8-gt-yvelines-france-1202956898,2023
DS,Diesel,Automatique,4298,4,37450,https://www.spoticar.fr/voitures-occasion/ds-ds-4-bluehdi-130-eat8-rivoli-yvelines-france-1202956892,2023
Peugeot,Essence,Manuelle,2038,308,27900,https://www.spoticar.fr/voitures-occasion/peugeot-308-puretech-130ch-ss-bvm6-allure-pack-yvelines-france-1202956876,2023
Peugeot,Diesel,Automatique,17596,3008,37841,https://www.spoticar.fr/voitures-occasion/peugeot-3008-bluehdi-130ch-ss-eat8-gt-yvelines-france-1202956893,2023
