brand,engine_type,gearbox,mileage,model,price,url,year
opel,essence,manuelle,137750,astra,900,"/Voiture/Opel-Astra-1.6-F-Caravan/vhc:car,pgn:7,pgs:10,dmg:false/pg:vipcar/384529233.html",1996
audi,diesel,automatique,177000,a6,15000,"/Voiture/Audi-Audi-a6-,scheckheft/vhc:car,pgn:2,pgs:10,dmg:false/pg:vipcar/384529295.html",2012
volkswagen,essence,manuelle,175000,golf,2800,"/Voiture/Volkswagen-VW-Golf-Plus/vhc:car,pgn:2,pgs:10,dmg:false/pg:vipcar/384529294.html",2006
audi,essence,manuelle,270000,a3,750,"/Voiture/Audi-Audi-A3-1.6-Benziner/vhc:car,pgn:5,pgs:10,dmg:false/pg:vipcar/384529257.html",1998
volkswagen,essence,automatique,200000,golf,12000,"/Voiture/Volkswagen-Golf-5-GTI-EDITION-30/vhc:car,pgn:3,pgs:10,dmg:false/pg:vipcar/384529285.html",2006
ford,essence,manuelle,265000,focus,1100,"/Voiture/Ford-Ford-Focus-T%C3%BCv-10-2024/vhc:car,pgn:3,pgs:10,dmg:false/pg:vipcar/384529283.html",2004
bmw,essence,manuelle,39700,,9900,"/Voiture/Mitsubishi-Space-Star-Edition-Klimaanlage/vhc:car,pgn:4,pgs:10,dmg:false/pg:vipcar/384529269.html",2021
ford,diesel,manuelle,177908,transit,5400,"/Voiture/Ford-Ford-Transit-2011-Rollstuhltransport/vhc:car,pgn:4,pgs:10,dmg:false/pg:vipcar/384529268.html",2012
volkswagen,essence,manuelle,31177,t-cross,21900,"/Voiture/Volkswagen-VOLKSWAGEN-T-Cross-2019-T-Cross/vhc:car,pgn:8,pgs:10,dmg:false/pg:vipcar/384529222.html",2020
volkswagen,hybride,automatique,39840,gle,75900,"/Voiture/Mercedes-Benz-Mercedes-Benz-GLE-Coupe-C167/vhc:car,pgn:8,pgs:10,dmg:false/pg:vipcar/384529221.html",2021
volkswagen,hybride,automatique,36715,gle,80900,"/Voiture/Mercedes-Benz-Mercedes-Benz-GLE-Coupe-C167/vhc:car,pgn:8,pgs:10,dmg:false/pg:vipcar/384529220.html",2021
,essence,manuelle,114277,,5500,"/Voiture/Suzuki-Suzuki-Grand-Vitara-1.6-Benzin./vhc:car,pgn:15,pgs:10,dmg:false/pg:vipcar/384529155.html",2002
,diesel,manuelle,260000,,5499,"/Voiture/Nissan-Nissan-Qashqai-2.-Hand/vhc:car,pgn:13,pgs:10,dmg:false/pg:vipcar/384529173.html",2011
volkswagen,essence,manuelle,184500,touran,8000,"/Voiture/Volkswagen-Touran-1.4/vhc:car,pgn:6,pgs:10,dmg:false/pg:vipcar/384529240.html",2011
opel,diesel,automatique,197000,insignia,5999,"/Voiture/Opel-Insignia-Sports-Tourer-2.0-CDTI-Edition/vhc:car,pgn:6,pgs:10,dmg:false/pg:vipcar/384529239.html",2013
ford,diesel,automatique,162400,panda,23299,"/Voiture/Porsche-Porsche-Cayenne-3.0-TDI-AHK-Navi/vhc:car,pgn:10,pgs:10,dmg:false/pg:vipcar/384529200.html",2013
ford,essence,manuelle,79700,fiesta,8900,"/Voiture/Ford-Fiesta-1.1-Trend-Klima/vhc:car,pgn:10,pgs:10,dmg:false/pg:vipcar/384529199.html",2018
audi,essence,automatique,198000,c6,4000,"/Voiture/Audi-Audi-A6-c6/vhc:car,pgn:7,pgs:10,dmg:false/pg:vipcar/384529232.html",2005
volkswagen,essence,manuelle,229000,golf,3000,"/Voiture/Volkswagen-Golf-1.4-TSI-90-kW-United-United/vhc:car,pgn:5,pgs:10,dmg:false/pg:vipcar/384529255.html",2008
toyota,essence,automatique,11700,corolla,13843,"/Voiture/Toyota-LEASING-%C3%9Cbernahme-Toyota-Corolla-TS/vhc:car,pgn:5,pgs:10,dmg:false/pg:vipcar/384529254.html",2023
ford,essence,manuelle,420000,gle,3000,"/Voiture/Volvo-VOLVO-850-GLE-1993-FESTPREIS/vhc:car,pgn:3,pgs:10,dmg:false/pg:vipcar/384529281.html",1993
mercedes,essence,automatique,234000,gle,4500,"/Voiture/Mercedes-Benz-Mercedes-C200-Avantgarde-EZ/vhc:car,pgn:3,pgs:10,dmg:false/pg:vipcar/384529280.html",2007
bmw,diesel,automatique,326000,x5,7000,"/Voiture/BMW-x5-E53-2006-zu-verkaufen/vhc:car,pgn:4,pgs:10,dmg:false/pg:vipcar/384529267.html",2006
volkswagen,essence,manuelle,92000,polo,9500,"/Voiture/Volkswagen-Polo-V-Comfortline-BMT,Neue/vhc:car,pgn:4,pgs:10,dmg:false/pg:vipcar/384529266.html",2014
volkswagen,hybride,automatique,29413,gle,73900,"/Voiture/Mercedes-Benz-Mercedes-Benz-GLE-V167-2019-GLE/vhc:car,pgn:8,pgs:10,dmg:false/pg:vipcar/384529219.html",2020
volkswagen,electrique,automatique,24093,gle,29500,"/Voiture/Autres-CUPRA-Born-Born-58kWh/vhc:car,pgn:8,pgs:10,dmg:false/pg:vipcar/384529218.html",2021
